meta_simulation_number,money
1,-0.0980868214042925
2,-0.10593838079502381
3,0.06664072380581769
4,-0.06767283349561831
5,0.11960326721120186
6,-0.18486001365720417
7,-0.07798030997173214
8,-0.012152440209994167
9,0.11932593025521138
10,-0.16108623710336772
11,-0.07011393514460999
12,0.213459107264417
13,0.07589763549674029
14,0.10863211223694466
15,-0.21150097465886938
16,0.056662758890191484
17,-0.23615556202114246
18,-0.198482194979568
19,-0.1805528518590617
20,-0.08510017506321728
21,-0.11092731341831273
22,0.0029157352512391875
23,-0.24338006230529596
24,-0.03159941662615459
25,-0.04617927279797784
26,-0.0914307946697792
27,-0.17427709083828255
28,-0.1431632255551227
29,0.006815968841285297
30,-0.014607069821793748
31,-0.22215726395790705
32,-0.04660194174757282
33,-0.06583438993465328
34,-0.25973395475288863
35,-0.14376218323586745
36,-0.1783625730994152
37,-0.12065777950763841
38,0.13513513513513514
39,-0.11761275272161742
40,-0.1666341843695186
41,-0.2699015882295625
42,-0.03599922163845106
43,-0.1575609756097561
44,0.17011113277441997
45,-0.14945652173913043
46,-0.1449063231850117
47,0.18103951722795406
48,-0.16540182914964
49,-0.001456734971350879
50,-0.01749271137026239
51,-0.08547838756677999
52,-0.3162709225379525
53,-0.07089443527240943
54,0.08169616806068858
55,-0.20145631067961164
56,0.05344995140913508
57,-0.24194333560510176
58,-0.0315442104241483
59,-0.04289335153051277
60,0.054051421893260614
61,-0.12366114897760468
62,-0.009744689144416294
63,0.057772599281483636
64,-0.06125425376762275
65,0.02925402242808386
66,0.0379156134551818
67,-0.050500145673497136
68,-0.11863088292493193
69,-0.21857657482231527
70,0.06181251825172783
71,-0.22714007782101167
72,-0.13949858550385327
73,-0.23276197896377093
74,-0.08468801713228852
75,-0.08708767149946482
76,-0.003400038857586944
77,-0.12876792508047996
78,0.13096397273612465
79,-0.3324895336383994
80,-0.1792848095098899
81,-0.06379662997954612
82,0.17269816629475113
83,-0.009250243427458617
84,0.013634592910011687
85,-0.21158346333853353
86,-0.06587936755807144
87,-0.08890400310921104
88,-0.06806028196402528
89,0.03888402838534072
90,-0.24390243902439024
91,-0.1934480412170701
92,-0.025355958650282815
93,-0.30179127725856697
94,-0.11099211371823581
95,0.011211855318319197
96,-0.10328364026113222
97,-0.12819263014232793
98,0.04140282513395031
99,-0.09160007795751315
100,-0.15259360374414976
